Family;Subfamily;Tribe;Subtribe;Genus
Ichneumonidae;Acaenitinae;;;Acaenitus
Ichneumonidae;Acaenitinae;;;Arotes
Ichneumonidae;Acaenitinae;;;Coleocentrus
Ichneumonidae;Acaenitinae;;;Hallocinetus
Ichneumonidae;Acaenitinae;;;Leptacoenites
Ichneumonidae;Acaenitinae;;;Mesoclistus
Ichneumonidae;Acaenitinae;;;Phaenolobus
Ichneumonidae;Acaenitinae;;;Procinetus
Ichneumonidae;Adelognathinae;;;Adelognathus
Ichneumonidae;Agriotypinae;;;Agriotypus
Ichneumonidae;Alomyinae;Alomyini;;Alomya
Ichneumonidae;Anomaloninae;Anomalonini;;Anomalon
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Agrypon
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Aphanistes
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Atrometoides
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Atrometus
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Barylypa
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Erigorgus
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Gravenhorstia
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Habrocampulum
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Habronyx
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Heteropelma
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Kokujewiella
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Parania
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Perisphincter
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Ribasia
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Therion
Ichneumonidae;Anomaloninae;Gravenhorstiini;;Trichomma
Ichneumonidae;Banchinae;Atrophini;;Alloplasta
Ichneumonidae;Banchinae;Atrophini;;Arenetra
Ichneumonidae;Banchinae;Atrophini;;Banchopsis
Ichneumonidae;Banchinae;Atrophini;;Cryptopimpla
Ichneumonidae;Banchinae;Atrophini;;Helotorus
Ichneumonidae;Banchinae;Atrophini;;Himertosoma
Ichneumonidae;Banchinae;Atrophini;;Lissonota
Ichneumonidae;Banchinae;Atrophini;;Lissonotidea
Ichneumonidae;Banchinae;Atrophini;;Odinophora
Ichneumonidae;Banchinae;Atrophini;;Syzeuctus
Ichneumonidae;Banchinae;Atrophini;;Tossinolodes
Ichneumonidae;Banchinae;Banchini;;Banchus
Ichneumonidae;Banchinae;Banchini;;Exetastes
Ichneumonidae;Banchinae;Banchini;;Rynchobanchus
Ichneumonidae;Banchinae;Glyptini;;Apophua
Ichneumonidae;Banchinae;Glyptini;;Cephaloglypta
Ichneumonidae;Banchinae;Glyptini;;Glypta
Ichneumonidae;Banchinae;Glyptini;;Teleutaea
Ichneumonidae;Brachycyrtinae;;;Brachycyrtus
Ichneumonidae;Campopleginae;;;Alcima
Ichneumonidae;Campopleginae;;;Bathyplectes
Ichneumonidae;Campopleginae;;;Benjaminia
Ichneumonidae;Campopleginae;;;Callidora
Ichneumonidae;Campopleginae;;;Campoletis
Ichneumonidae;Campopleginae;;;Campoplex
Ichneumonidae;Campopleginae;;;Casinaria
Ichneumonidae;Campopleginae;;;Charops
Ichneumonidae;Campopleginae;;;Chromoplex
Ichneumonidae;Campopleginae;;;Clypeoplex
Ichneumonidae;Campopleginae;;;Cymodusa
Ichneumonidae;Campopleginae;;;Diadegma
Ichneumonidae;Campopleginae;;;Dolophron
Ichneumonidae;Campopleginae;;;Dusona
Ichneumonidae;Campopleginae;;;Echthronomas
Ichneumonidae;Campopleginae;;;Enytus
Ichneumonidae;Campopleginae;;;Eriborus
Ichneumonidae;Campopleginae;;;Gonotypus
Ichneumonidae;Campopleginae;;;Hellwigia
Ichneumonidae;Campopleginae;;;Hyposoter
Ichneumonidae;Campopleginae;;;Lathroplex
Ichneumonidae;Campopleginae;;;Lathrostizus
Ichneumonidae;Campopleginae;;;Lemophagus
Ichneumonidae;Campopleginae;;;Leptocampoplex
Ichneumonidae;Campopleginae;;;Leptoperilissus
Ichneumonidae;Campopleginae;;;Macrulus
Ichneumonidae;Campopleginae;;;Macrus
Ichneumonidae;Campopleginae;;;Melanoplex
Ichneumonidae;Campopleginae;;;Meloboris
Ichneumonidae;Campopleginae;;;Nemeritis
Ichneumonidae;Campopleginae;;;Nepiesta
Ichneumonidae;Campopleginae;;;Olesicampe
Ichneumonidae;Campopleginae;;;Phobocampe
Ichneumonidae;Campopleginae;;;Porizon
Ichneumonidae;Campopleginae;;;Pyracmon
Ichneumonidae;Campopleginae;;;Rhimphoctona
Ichneumonidae;Campopleginae;;;Scirtetes
Ichneumonidae;Campopleginae;;;Sesioplex
Ichneumonidae;Campopleginae;;;Sinophorus
Ichneumonidae;Campopleginae;;;Synetaeris
Ichneumonidae;Campopleginae;;;Tranosema
Ichneumonidae;Campopleginae;;;Tranosemella
Ichneumonidae;Campopleginae;;;Venturia
Ichneumonidae;Phygadeuontinae;Phygadeuontini;;Cephalobaris
Ichneumonidae;Collyriinae;;;Collyria
Ichneumonidae;Cremastinae;;;Cremastus
Ichneumonidae;Cremastinae;;;Dimophora
Ichneumonidae;Cremastinae;;;Eucremastoides
Ichneumonidae;Cremastinae;;;Eucremastus
Ichneumonidae;Cremastinae;;;Nothocremastus
Ichneumonidae;Cremastinae;;;Pristomerus
Ichneumonidae;Cremastinae;;;Pseudocremastus
Ichneumonidae;Cremastinae;;;Pycnoflatsor
Ichneumonidae;Cremastinae;;;Temelucha
Ichneumonidae;Cremastinae;;;Trathala
Ichneumonidae;Cryptinae;Cryptini;;Acroricnus
Ichneumonidae;Cryptinae;Cryptini;;Agrothereutes
Ichneumonidae;Cryptinae;Cryptini;;Allophatnus
Ichneumonidae;Cryptinae;Cryptini;;Apsilops
Ichneumonidae;Cryptinae;Cryptini;;Aritranis
Ichneumonidae;Cryptinae;Cryptini;;Ateleute
Ichneumonidae;Cryptinae;Cryptini;;Buathra
Ichneumonidae;Cryptinae;Cryptini;;Caenocryptus
Ichneumonidae;Cryptinae;Cryptini;;Cryptus
Ichneumonidae;Cryptinae;Cryptini;;Enclisis
Ichneumonidae;Cryptinae;Cryptini;;Gambrus
Ichneumonidae;Cryptinae;Cryptini;;Hidryta
Ichneumonidae;Cryptinae;Cryptini;;Hoplocryptus
Ichneumonidae;Cryptinae;Cryptini;;Idiolispa
Ichneumonidae;Cryptinae;Cryptini;;Ischnus
Ichneumonidae;Cryptinae;Cryptini;;Latibulus
Ichneumonidae;Cryptinae;Cryptini;;Listrognathus
Ichneumonidae;Cryptinae;Cryptini;;Meringopus
Ichneumonidae;Cryptinae;Cryptini;;Mesostenus
Ichneumonidae;Cryptinae;Cryptini;;Myrmeleonostenus
Ichneumonidae;Cryptinae;Cryptini;;Nematopodius
Ichneumonidae;Cryptinae;Cryptini;;Nippocryptus
Ichneumonidae;Cryptinae;Cryptini;;Picardiella
Ichneumonidae;Cryptinae;Cryptini;;Pterocryptus
Ichneumonidae;Cryptinae;Cryptini;;Pycnocryptodes
Ichneumonidae;Cryptinae;Cryptini;;Schreineria
Ichneumonidae;Cryptinae;Cryptini;;Sphecophaga
Ichneumonidae;Cryptinae;Cryptini;;Stenarella
Ichneumonidae;Cryptinae;Cryptini;;Synechocryptus
Ichneumonidae;Cryptinae;Cryptini;;Thrybius
Ichneumonidae;Cryptinae;Cryptini;;Trychosis
Ichneumonidae;Cryptinae;Cryptini;;Xylophrurus
Ichneumonidae;Cryptinae;Hemigasterini;;Aconias
Ichneumonidae;Cryptinae;Hemigasterini;;Aptesis
Ichneumonidae;Cryptinae;Hemigasterini;;Colocnema
Ichneumonidae;Cryptinae;Hemigasterini;;Cratocryptus
Ichneumonidae;Cryptinae;Hemigasterini;;Cubocephalus
Ichneumonidae;Cryptinae;Hemigasterini;;Demopheles
Ichneumonidae;Cryptinae;Hemigasterini;;Echthrus
Ichneumonidae;Cryptinae;Hemigasterini;;Giraudia
Ichneumonidae;Cryptinae;Hemigasterini;;Javra
Ichneumonidae;Cryptinae;Hemigasterini;;Listrocryptus
Ichneumonidae;Cryptinae;Hemigasterini;;Megaplectes
Ichneumonidae;Cryptinae;Hemigasterini;;Oresbius
Ichneumonidae;Cryptinae;Hemigasterini;;Parmortha
Ichneumonidae;Cryptinae;Hemigasterini;;Plectocryptus
Ichneumonidae;Cryptinae;Hemigasterini;;Pleolophus
Ichneumonidae;Cryptinae;Hemigasterini;;Polytribax
Ichneumonidae;Cryptinae;Hemigasterini;;Rhytura
Ichneumonidae;Cryptinae;Hemigasterini;;Schenkia
Ichneumonidae;Cryptinae;Phygadeuontini;;Aclastus
Ichneumonidae;Cryptinae;Phygadeuontini;;Acrolyta
Ichneumonidae;Cryptinae;Phygadeuontini;;Agasthenes
Ichneumonidae;Cryptinae;Phygadeuontini;;Amphibulus
Ichneumonidae;Cryptinae;Phygadeuontini;;Arotrephes
Ichneumonidae;Cryptinae;Phygadeuontini;;Atractodes
Ichneumonidae;Cryptinae;Phygadeuontini;;Bathythrix
Ichneumonidae;Cryptinae;Phygadeuontini;;Blapsidotes
Ichneumonidae;Cryptinae;Phygadeuontini;;Boleslawia
Ichneumonidae;Cryptinae;Phygadeuontini;;Brachypimpla
Ichneumonidae;Cryptinae;Phygadeuontini;;Ceratophygadeuon
Ichneumonidae;Cryptinae;Phygadeuontini;;Charitopes
Ichneumonidae;Cryptinae;Phygadeuontini;;Chirotica
Ichneumonidae;Cryptinae;Phygadeuontini;;Clypeoteles
Ichneumonidae;Cryptinae;Phygadeuontini;;Cremnodes
Ichneumonidae;Cryptinae;Phygadeuontini;;Diaglyptellana
Ichneumonidae;Cryptinae;Phygadeuontini;;Diaglyptellodes
Ichneumonidae;Cryptinae;Phygadeuontini;;Diaglyptidea
Ichneumonidae;Cryptinae;Phygadeuontini;;Dichrogaster
Ichneumonidae;Cryptinae;Phygadeuontini;;Encrateola
Ichneumonidae;Cryptinae;Phygadeuontini;;Endasys
Ichneumonidae;Cryptinae;Phygadeuontini;;Ethelurgus
Ichneumonidae;Cryptinae;Phygadeuontini;;Eudelus
Ichneumonidae;Cryptinae;Phygadeuontini;;Fianoniella
Ichneumonidae;Cryptinae;Phygadeuontini;;Gelis
Ichneumonidae;Cryptinae;Phygadeuontini;;Glyphicnemis
Ichneumonidae;Cryptinae;Phygadeuontini;;Gnotus
Ichneumonidae;Cryptinae;Phygadeuontini;;Gnypetomorpha
Ichneumonidae;Cryptinae;Phygadeuontini;;Grasseiteles
Ichneumonidae;Cryptinae;Phygadeuontini;;Handaoia
Ichneumonidae;Cryptinae;Phygadeuontini;;Hedylus
Ichneumonidae;Cryptinae;Phygadeuontini;;Helcostizus
Ichneumonidae;Cryptinae;Phygadeuontini;;Hemiteles
Ichneumonidae;Cryptinae;Phygadeuontini;;Isadelphus
Ichneumonidae;Cryptinae;Phygadeuontini;;Leptocryptoides
Ichneumonidae;Cryptinae;Phygadeuontini;;Lochetica
Ichneumonidae;Cryptinae;Phygadeuontini;;Lysibia
Ichneumonidae;Cryptinae;Phygadeuontini;;Mastrulus
Ichneumonidae;Cryptinae;Phygadeuontini;;Mastrus
Ichneumonidae;Cryptinae;Phygadeuontini;;Medophron
Ichneumonidae;Cryptinae;Phygadeuontini;;Megacara
Ichneumonidae;Cryptinae;Phygadeuontini;;Mesoleptus
Ichneumonidae;Cryptinae;Phygadeuontini;;Micromonodon
Ichneumonidae;Cryptinae;Phygadeuontini;;Neopimpla
Ichneumonidae;Cryptinae;Phygadeuontini;;Obisiphaga
Ichneumonidae;Cryptinae;Phygadeuontini;;Odontoneura
Ichneumonidae;Cryptinae;Phygadeuontini;;Oecotelma
Ichneumonidae;Cryptinae;Phygadeuontini;;Orthizema
Ichneumonidae;Cryptinae;Phygadeuontini;;Phygadeuon
Ichneumonidae;Cryptinae;Phygadeuontini;;Platyrhabdus
Ichneumonidae;Cryptinae;Phygadeuontini;;Pleurogyrus
Ichneumonidae;Cryptinae;Phygadeuontini;;Polyaulon
Ichneumonidae;Cryptinae;Phygadeuontini;;Pygocryptus
Ichneumonidae;Cryptinae;Phygadeuontini;;Rhembobius
Ichneumonidae;Cryptinae;Phygadeuontini;;Stibeutes
Ichneumonidae;Cryptinae;Phygadeuontini;;Stilpnus
Ichneumonidae;Cryptinae;Phygadeuontini;;Sulcarius
Ichneumonidae;Cryptinae;Phygadeuontini;;Thaumatogelis
Ichneumonidae;Cryptinae;Phygadeuontini;;Theroscopus
Ichneumonidae;Cryptinae;Phygadeuontini;;Townostilpnus
Ichneumonidae;Cryptinae;Phygadeuontini;;Tricholinum
Ichneumonidae;Cryptinae;Phygadeuontini;;Tropistes
Ichneumonidae;Cryptinae;Phygadeuontini;;Uchidella
Ichneumonidae;Cryptinae;Phygadeuontini;;Xenolytus
Ichneumonidae;Cryptinae;Phygadeuontini;;Xiphulcus
Ichneumonidae;Cryptinae;Phygadeuontini;;Zoophthorus
Ichneumonidae;Ctenopelmatinae;Ctenopelmatini;;Ctenopelma
Ichneumonidae;Ctenopelmatinae;Ctenopelmatini;;Homaspis
Ichneumonidae;Ctenopelmatinae;Ctenopelmatini;;Notopygus
Ichneumonidae;Ctenopelmatinae;Ctenopelmatini;;Rhorodes
Ichneumonidae;Ctenopelmatinae;Ctenopelmatini;;Xenoschesis
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Anisotacrus
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Euryproctus
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Gunomeria
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Hadrodactylus
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Hypamblys
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Hypsantyx
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Mesoleptidea
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Occapes
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Pantorhaestes
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Phobetes
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Syndipnus
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Synodites
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Synomelix
Ichneumonidae;Ctenopelmatinae;Euryproctini;;Zemiophora
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Alcochera
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Alexeter
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Anoncus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Arbelus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Azelus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Barytarbes
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Campodorus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Dentimachus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Himerta
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Hyperbatus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Iskarus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Lagarotis
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Lamachus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Mesoleius
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Neostroblia
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Otlophorus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Perispuda
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Protarchus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Rhinotorus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Saotis
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Scopesis
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Seleucus
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Semimesoleius
Ichneumonidae;Ctenopelmatinae;Mesoleiini;;Smicrolius
Ichneumonidae;Ctenopelmatinae;Oletthrodotini;;Olethrodotis
Ichneumonidae;Ctenopelmatinae;Perilissini;;Absyrtus
Ichneumonidae;Ctenopelmatinae;Perilissini;;Bremiella
Ichneumonidae;Ctenopelmatinae;Perilissini;;Coelorhachis
Ichneumonidae;Ctenopelmatinae;Perilissini;;Lathiponus
Ichneumonidae;Ctenopelmatinae;Perilissini;;Lathrolestes
Ichneumonidae;Ctenopelmatinae;Perilissini;;Lophyroplectus
Ichneumonidae;Ctenopelmatinae;Perilissini;;Oetophorus
Ichneumonidae;Ctenopelmatinae;Perilissini;;Opheltes
Ichneumonidae;Ctenopelmatinae;Perilissini;;Perilimicron
Ichneumonidae;Ctenopelmatinae;Perilissini;;Perilissus
Ichneumonidae;Ctenopelmatinae;Perilissini;;Priopoda
Ichneumonidae;Ctenopelmatinae;Perilissini;;Synoecetes
Ichneumonidae;Ctenopelmatinae;Perilissini;;Trematopygodes
Ichneumonidae;Ctenopelmatinae;Perilissini;;Zaplethocornia
Ichneumonidae;Ctenopelmatinae;Pionini;;Asthenara
Ichneumonidae;Ctenopelmatinae;Pionini;;Glyptorhaestus
Ichneumonidae;Ctenopelmatinae;Pionini;;Hodostates
Ichneumonidae;Ctenopelmatinae;Pionini;;Ischyrocnemis
Ichneumonidae;Ctenopelmatinae;Pionini;;Labrossyta
Ichneumonidae;Ctenopelmatinae;Pionini;;Lethades
Ichneumonidae;Ctenopelmatinae;Pionini;;Phaestus
Ichneumonidae;Ctenopelmatinae;Pionini;;Pion
Ichneumonidae;Ctenopelmatinae;Pionini;;Rhaestus
Ichneumonidae;Ctenopelmatinae;Pionini;;Rhorus
Ichneumonidae;Ctenopelmatinae;Pionini;;Sympherta
Ichneumonidae;Ctenopelmatinae;Pionini;;Syntactus
Ichneumonidae;Ctenopelmatinae;Pionini;;Trematopygus
Ichneumonidae;Ctenopelmatinae;Scolobatini;;Scolobates
Ichneumonidae;Cylloceriinae;;;Allomacrus
Ichneumonidae;Cylloceriinae;;;Cylloceria
Ichneumonidae;Diacritinae;;;Diacritus
Ichneumonidae;Diplazontinae;;;Bioblapsis
Ichneumonidae;Diplazontinae;;;Campocraspedon
Ichneumonidae;Diplazontinae;;;Daschia
Ichneumonidae;Diplazontinae;;;Diplazon
Ichneumonidae;Diplazontinae;;;Enizemum
Ichneumonidae;Diplazontinae;;;Episemura
Ichneumonidae;Diplazontinae;;;Phthorima
Ichneumonidae;Diplazontinae;;;Promethes
Ichneumonidae;Diplazontinae;;;Sussaba
Ichneumonidae;Diplazontinae;;;Syrphoctonus
Ichneumonidae;Diplazontinae;;;Syrphophilus
Ichneumonidae;Diplazontinae;;;Tymmophorus
Ichneumonidae;Diplazontinae;;;Woldstedtius
Ichneumonidae;Diplazontinae;;;Xestopelta
Ichneumonidae;Eucerotinae;;;Euceros
Ichneumonidae;Hybrizontinae;;;Eurypterna
Ichneumonidae;Hybrizontinae;;;Ghilaromma
Ichneumonidae;Hybrizontinae;;;Hybrizon
Ichneumonidae;Ichneumoninae;Clypeodromini;;Clypeodromus
Ichneumonidae;Ichneumoninae;Ctenocalini;;Magwengiella
Ichneumonidae;Ichneumoninae;Eurylabini;;Eurylabus
Ichneumonidae;Ichneumoninae;Goedartiini;;Goedartia
Ichneumonidae;Ichneumoninae;Heresiarchini;;Aglaojoppa
Ichneumonidae;Ichneumoninae;Heresiarchini;;Amblyjoppa
Ichneumonidae;Ichneumoninae;Heresiarchini;;Callajoppa
Ichneumonidae;Ichneumoninae;Heresiarchini;;Catadelphus
Ichneumonidae;Ichneumoninae;Heresiarchini;;Coelichneumon
Ichneumonidae;Ichneumoninae;Heresiarchini;;Coelichneumonops
Ichneumonidae;Ichneumoninae;Heresiarchini;;Heresiarches
Ichneumonidae;Ichneumoninae;Heresiarchini;;Lymantrichneumon
Ichneumonidae;Ichneumoninae;Heresiarchini;;Protichneumon
Ichneumonidae;Ichneumoninae;Heresiarchini;;Psilomastax
Ichneumonidae;Ichneumoninae;Heresiarchini;;Syspasis
Ichneumonidae;Ichneumoninae;Heresiarchini;;Trogus
Ichneumonidae;Ichneumoninae;Ichneumonini;;Achaius
Ichneumonidae;Ichneumoninae;Ichneumonini;;Acolobus
Ichneumonidae;Ichneumoninae;Ichneumonini;;Amblyteles
Ichneumonidae;Ichneumoninae;Ichneumonini;;Anisopygus
Ichneumonidae;Ichneumoninae;Ichneumonini;;Aoplus
Ichneumonidae;Ichneumoninae;Ichneumonini;;Auritus
Ichneumonidae;Ichneumoninae;Ichneumonini;;Baranisobas
Ichneumonidae;Ichneumoninae;Ichneumonini;;Barichneumon
